HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
morocco-ivory-coast-jXJlDJg8,28 Jun 2019,2.20,2.94,3.82,2.32,1.57,1.12,1.58,2.81,5.60,12.19,5.69,2.33,1.41,1.12,1.03,11.77,4.56,1.22,1.04,6.11,3.52,4.86,10.15,1.15,1.65,9.86,28.52
tunisia-mali-Uocy4FGf,28 Jun 2019,2.52,2.90,3.16,2.13,1.68,1.12,1.53,2.64,5.05,10.56,6.01,2.45,1.46,1.15,1.04,13.89,5.24,1.31,1.07,6.93,3.80,4.39,8.42,1.12,1.50,7.33,19.15
kenya-tanzania-0hUkhIHr,27 Jun 2019,2.18,3.03,3.72,2.19,1.64,1.11,1.53,2.69,5.16,10.86,6.05,2.42,1.46,1.14,1.03,10.85,4.44,1.23,1.04,6.06,3.57,4.86,9.65,1.15,1.64,9.17,25.46
senegal-algeria-bqrOdb9R,27 Jun 2019,2.00,3.10,4.24,2.22,1.63,1.11,1.53,2.66,5.17,10.87,6.01,2.44,1.47,1.15,1.03,9.62,4.01,1.19,1.03,5.60,3.47,5.11,10.75,1.19,1.76,10.54,29.65
madagascar-burundi-tlcPycX1,27 Jun 2019,3.18,2.82,2.55,2.08,1.70,1.12,1.52,2.63,4.90,10.66,5.86,2.46,1.47,1.16,1.04,20.84,7.46,1.48,1.11,8.65,4.43,3.82,7.22,1.06,1.31,5.43,14.52
egypt-dr-congo-Um2qo1AF,26 Jun 2019,1.35,4.75,9.16,2.30,1.59,1.04,1.29,1.93,3.29,6.09,9.83,3.43,1.86,1.31,1.11,3.60,1.97,1.06,,3.90,3.38,10.50,,1.69,3.21,29.00,
uganda-zimbabwe-jc3unse9,26 Jun 2019,2.30,2.82,3.74,2.45,1.52,1.14,1.68,3.08,6.28,13.97,5.20,2.14,1.35,1.10,1.02,13.07,4.90,1.23,1.04,6.34,3.54,4.70,10.11,1.13,1.57,9.86,28.87
nigeria-guinea-2cbLxwIe,26 Jun 2019,2.06,3.17,3.90,2.25,1.61,1.10,1.52,2.66,5.14,10.90,6.32,2.45,1.46,1.14,1.04,9.89,4.16,1.22,1.04,5.66,3.49,4.93,12.00,1.19,1.71,9.45,30.00
ghana-benin-fX0a8U7t,25 Jun 2019,1.66,3.45,6.11,2.54,1.49,1.11,1.53,2.65,5.10,10.77,6.32,2.45,1.47,1.15,1.04,6.73,2.93,1.11,-,4.65,3.18,6.49,-,1.31,2.19,17.98,-
cameroon-guinea-bissau-I7wWPdwE,25 Jun 2019,1.47,3.84,8.10,2.57,1.48,1.08,1.43,2.37,4.40,9.04,7.21,2.72,1.58,1.19,1.05,4.98,2.44,1.07,-,4.17,3.21,7.58,-,1.46,2.58,22.35,-
mali-mauritania-MLcX4e1l,24 Jun 2019,1.73,3.33,5.56,2.45,1.52,1.11,1.53,2.69,5.07,10.88,6.13,2.44,1.46,1.15,1.03,7.17,3.07,1.12,1.01,4.82,3.22,6.15,20.00,1.28,2.08,15.63,61.00
tunisia-angola-rVbT5ynr,24 Jun 2019,1.80,3.36,4.87,2.15,1.66,1.08,1.45,2.44,4.49,9.46,6.97,2.65,1.55,1.18,1.05,7.39,3.25,1.15,1.01,4.97,3.35,5.81,17.00,1.27,1.98,12.91,51.00
ivory-coast-south-africa-EFz6lzH7,24 Jun 2019,1.95,3.05,4.61,2.24,1.61,1.11,1.52,2.59,4.92,10.47,6.06,2.50,1.49,1.16,1.04,8.97,3.68,1.17,1.02,5.35,3.37,5.51,12.32,1.21,1.85,12.61,35.62
algeria-kenya-U9wKcvfL,23 Jun 2019,1.65,3.49,6.00,2.24,1.61,1.08,1.42,2.37,4.21,8.71,7.26,2.72,1.57,1.20,1.06,6.22,2.88,1.11,,4.61,3.31,7.50,,1.33,2.20,18.00,
senegal-tanzania-jJvGbKvF,23 Jun 2019,1.27,4.96,13.90,3.10,1.36,1.07,1.37,2.17,3.80,7.56,7.80,2.97,1.67,1.24,1.08,3.36,1.87,1.03,,3.68,3.25,14.00,,1.81,3.68,51.00,
morocco-namibia-zPy2kG11,23 Jun 2019,1.31,4.85,11.32,3.15,1.35,1.07,1.40,2.27,4.12,8.28,7.68,2.77,1.62,1.21,1.06,3.70,1.93,1.04,,3.78,3.27,12.00,,1.71,3.37,36.00,
guinea-madagascar-MosOwJ2k,22 Jun 2019,1.83,3.22,5.05,2.32,1.58,1.11,1.52,2.62,5.14,10.68,6.28,2.46,1.49,1.15,1.04,7.62,3.43,1.14,1.01,5.00,3.28,5.82,18.00,1.25,1.95,13.75,51.00
nigeria-burundi-rerKvamq,22 Jun 2019,1.46,3.99,8.05,2.33,1.57,1.07,1.36,2.17,3.89,7.90,7.88,3.01,1.67,1.23,1.07,4.68,2.36,1.06,,4.15,3.25,10.00,,1.48,2.66,29.00,
dr-congo-uganda-MNbymNu3,22 Jun 2019,2.19,2.84,3.95,2.64,1.45,1.16,1.75,3.34,7.10,15.52,4.87,2.05,1.31,1.09,1.02,12.73,4.78,1.21,1.03,6.12,3.42,4.86,10.69,1.14,1.62,10.95,33.13
egypt-zimbabwe-rXaXm3Qd,21 Jun 2019,1.24,5.59,12.33,2.50,1.51,1.04,1.24,1.76,2.93,5.23,10.79,3.80,2.05,1.38,1.14,2.96,1.74,1.04,,3.88,3.62,13.00,,1.92,3.70,36.00,
libya-south-africa-0QsEg3I8,24 Mar 2019,3.28,2.92,2.28,2.20,1.68,1.08,1.49,2.65,4.97,8.75,6.75,2.47,1.44,1.13,1.04,-,-,1.55,-,-,-,3.66,-,-,-,4.73,-
benin-togo-IsfnZDFd,24 Mar 2019,2.03,3.16,3.66,2.31,1.62,1.08,1.49,2.63,5.00,8.55,6.75,2.46,1.44,1.13,1.04,,3.99,-,-,,3.43,-,-,,1.69,-,-
cape-verde-lesotho-nJFoeAf6,24 Mar 2019,1.37,4.19,8.32,2.66,1.48,1.06,1.37,2.26,4.19,7.55,7.75,2.85,1.60,1.19,1.06,-,2.20,,,-,3.16,,,-,2.89,,
