HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
austria-serbia-QDYqPSC4,04 Jun 2024,2.14,3.27,3.45,1.76,2.00,1.06,1.30,1.94,3.31,6.42,10.06,3.41,1.83,1.32,1.10,9.13,4.03,1.31,1.08,6.13,3.95,5.18,9.63,1.23,1.69,7.93,21.75
ireland-hungary-nNZuQ8cb,04 Jun 2024,2.93,3.06,2.54,2.01,1.74,1.09,1.45,2.40,4.51,9.17,7.29,2.66,1.55,1.19,1.05,18.25,6.63,1.51,1.14,8.00,4.28,4.00,7.10,1.11,1.40,5.50,14.50
portugal-finland-v3HlVWbt,04 Jun 2024,1.13,8.24,18.90,2.45,1.52,1.01,1.13,1.45,2.12,3.50,21.38,5.67,2.70,1.69,1.29,2.11,1.44,1.02,,3.95,4.47,14.38,,2.73,5.70,48.00,
switzerland-estonia-GvLgyfNd,04 Jun 2024,1.14,7.24,16.85,2.48,1.49,1.02,1.16,1.52,2.29,3.88,17.75,4.95,2.45,1.58,1.23,2.26,1.48,1.02,,3.98,4.35,11.50,,2.55,5.33,46.00,
slovenia-armenia-OEkeGjL0,04 Jun 2024,1.49,4.28,6.24,2.06,1.71,1.05,1.30,1.90,3.28,6.09,10.76,3.40,1.87,1.32,1.11,4.60,2.39,1.12,1.02,4.35,3.47,7.55,16.50,1.56,2.59,19.00,61.00
england-bosnia-herzegovina-lE06RITo,03 Jun 2024,1.17,6.97,14.90,2.32,1.56,1.01,1.15,1.50,2.26,3.83,17.83,5.15,2.53,1.62,1.25,2.32,1.53,1.03,-,3.83,4.10,11.00,-,2.42,4.93,40.00,-
germany-ukraine-hf9HH4cQ,03 Jun 2024,1.37,5.17,7.32,1.69,2.09,1.01,1.13,1.45,2.12,3.45,20.17,5.66,2.68,1.69,1.29,3.18,1.92,1.09,1.01,4.30,4.03,8.40,13.00,1.85,3.10,18.00,38.00
albania-liechtenstein-z9ylsMkm,03 Jun 2024,1.07,10.10,29.00,3.12,1.34,1.01,1.12,1.41,2.03,3.27,21.00,5.71,2.81,1.74,1.31,1.79,1.28,,,4.13,5.10,,,3.50,9.20,,
croatia-north-macedonia-hW2wIzG1,03 Jun 2024,1.40,4.55,7.81,2.04,1.72,1.04,1.24,1.77,2.90,5.24,12.75,3.87,2.01,1.40,1.15,3.75,2.11,1.09,1.01,4.18,3.68,8.82,18.75,1.71,2.90,22.75,71.00
scotland-gibraltar-z1wPqoII,03 Jun 2024,1.02,16.40,37.40,3.40,1.29,1.00,1.05,1.21,1.59,2.28,57.50,8.93,4.13,2.28,1.59,1.43,1.14,,,4.88,6.73,,,5.50,17.25,,
