HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Over_05,Over_15,Over_25,Over_35,Over_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
france-nigeria-xOM55ti4,30 Jun 2014,1.41,4.59,8.85,2.03,1.69,1.03,1.23,1.79,2.88,5.60,11.13,3.89,2.02,1.39,1.13,3.67,2.08,1.06,1.01,4.15,3.49,9.00,11.00,1.64,2.98,19.67,30.00
netherlands-mexico-bB2nY26j,29 Jun 2014,2.15,3.29,3.67,1.84,1.83,1.07,1.35,2.16,3.96,8.00,8.50,3.09,1.67,1.23,1.07,8.90,3.98,1.27,1.05,6.22,3.83,5.10,10.17,1.19,1.68,8.00,19.67
algeria-russia-vDvNFKzT,26 Jun 2014,3.69,3.63,2.01,1.88,1.83,1.06,1.36,2.15,3.83,8.25,8.88,3.03,1.69,1.24,1.07,20.00,8.17,1.76,1.22,10.17,5.33,3.73,5.83,1.05,1.26,3.65,8.33
south-korea-belgium-pjuJG0LM,26 Jun 2014,4.56,3.56,1.84,1.69,2.05,1.04,1.25,1.85,3.05,5.88,11.00,3.83,1.96,1.36,1.12,23.00,9.17,1.95,1.29,11.67,6.05,3.73,5.33,1.02,1.20,3.00,6.40
portugal-ghana-4zpbLO6i,26 Jun 2014,1.76,4.70,3.80,1.39,2.82,1.01,1.12,1.40,2.00,3.25,19.75,6.03,2.90,1.77,1.32,5.17,2.70,1.23,1.05,5.53,4.06,6.03,10.17,1.36,2.03,7.33,17.33
usa-germany-2V5FduUj,26 Jun 2014,8.26,3.07,1.68,1.73,2.00,1.04,1.25,1.88,3.00,5.89,10.00,3.75,1.94,1.35,1.13,35.00,18.00,2.19,1.38,10.00,8.00,3.59,4.85,1.01,1.09,2.60,5.37
ecuador-france-4E8N8oNo,25 Jun 2014,5.56,4.09,1.61,1.61,2.18,1.02,1.17,1.63,2.57,4.46,14.00,4.58,2.25,1.47,1.18,29.00,11.33,2.28,1.44,14.00,7.17,3.71,4.85,1.02,1.13,2.50,4.67
honduras-switzerland-jBKup2po,25 Jun 2014,7.14,4.36,1.49,1.77,1.94,1.02,1.20,1.70,2.63,5.00,13.25,4.31,2.13,1.44,1.16,30.00,14.33,2.66,1.53,10.00,8.33,3.58,4.47,1.01,1.09,2.23,4.07
costa-rica-england-pAychQx5,24 Jun 2014,4.48,3.93,1.77,1.71,2.04,1.03,1.25,1.79,2.94,5.58,11.25,3.76,2.02,1.38,1.13,21.00,8.83,2.03,1.32,11.33,5.97,3.84,5.30,1.03,1.19,2.91,5.87
italy-uruguay-2onhg6Nb,24 Jun 2014,2.52,3.48,2.79,1.68,2.07,1.05,1.28,1.94,3.34,6.49,9.88,3.53,1.87,1.31,1.10,10.50,4.55,1.39,1.10,7.03,4.13,4.50,7.97,1.14,1.54,5.82,13.50
croatia-mexico-f3BvvzIf,23 Jun 2014,2.72,3.44,2.61,1.73,1.97,1.06,1.33,2.03,3.51,7.25,9.13,3.20,1.76,1.27,1.08,13.33,5.70,1.47,1.11,7.67,4.34,4.18,7.57,1.11,1.42,5.10,12.00
australia-spain-dSewayfK,23 Jun 2014,8.22,5.23,1.36,1.65,2.13,1.01,1.12,1.41,2.05,3.29,17.00,6.10,2.82,1.73,1.31,-,16.67,3.07,1.77,-,9.17,4.06,4.22,-,1.07,1.84,3.18
netherlands-chile-viorbe9Q,23 Jun 2014,2.74,3.52,2.57,1.58,2.23,1.04,1.23,1.79,3.00,5.56,10.88,3.89,2.01,1.36,1.13,11.67,5.13,1.46,1.11,7.50,4.34,4.37,7.83,1.12,1.44,5.10,11.83
usa-portugal-Ov7BcLEp,23 Jun 2014,4.63,4.01,1.74,1.72,1.99,1.03,1.23,1.79,2.89,5.53,12.50,3.96,2.01,1.39,1.14,24.00,9.50,2.03,1.33,11.75,6.07,3.70,5.20,1.03,1.19,2.86,5.83
belgium-russia-lOoAIMjA,22 Jun 2014,2.23,3.29,3.45,2.00,1.70,1.09,1.43,2.40,4.54,9.88,7.50,2.78,1.57,1.18,1.05,10.00,4.21,1.26,1.04,6.33,3.75,5.00,10.33,1.18,1.65,8.00,19.67
germany-ghana-WnFq216T,21 Jun 2014,1.33,5.43,9.16,1.76,1.91,1.01,1.15,1.53,2.39,4.06,16.25,4.94,2.47,1.55,1.22,3.13,1.90,1.06,,4.20,3.66,9.67,,1.80,3.17,17.33,
switzerland-france-WQw9kOMN,20 Jun 2014,4.58,3.49,1.86,1.90,1.84,1.06,1.39,2.21,3.93,8.30,8.25,2.85,1.65,1.23,1.07,24.00,10.50,1.91,1.27,11.85,5.97,3.58,5.40,1.04,1.18,3.30,7.15
italy-costa-rica-40Tlfn8h,20 Jun 2014,1.57,4.01,6.48,1.95,1.75,1.05,1.30,2.02,3.48,6.88,9.50,3.36,1.78,1.29,1.09,4.80,2.53,1.10,1.01,4.57,3.31,7.57,19.00,1.44,2.40,15.00,46.00
uruguay-england-AwUpeShn,19 Jun 2014,3.85,3.71,1.94,1.61,2.17,1.03,1.22,1.72,2.85,5.31,11.75,4.08,2.09,1.40,1.15,18.33,8.00,1.82,1.26,10.33,5.52,3.84,5.60,1.05,1.23,3.30,6.92
cameroon-croatia-l68Wudmr,19 Jun 2014,5.62,3.87,1.65,1.86,1.83,1.05,1.29,1.96,3.36,6.63,10.13,3.45,1.85,1.31,1.10,31.50,12.67,2.22,1.39,13.50,6.93,3.45,4.82,1.02,1.13,2.75,5.30
spain-chile-UL3iyY1D,18 Jun 2014,1.58,4.33,5.58,1.64,2.08,1.02,1.18,1.63,2.58,4.59,14.25,4.53,2.26,1.48,1.17,4.70,2.39,1.13,1.02,4.65,3.76,6.92,13.00,1.45,2.36,11.50,26.50
australia-netherlands-rPiZaHvE,18 Jun 2014,13.17,6.43,1.23,2.08,1.66,1.02,1.18,1.60,2.55,4.36,16.50,4.48,2.32,1.49,1.19,,24.33,3.96,1.96,,11.83,3.83,3.95,,1.02,1.66,2.81
russia-south-korea-AXn6J2y4,18 Jun 2014,1.82,3.57,4.64,1.90,1.81,1.06,1.34,2.11,3.60,7.63,9.13,3.09,1.70,1.26,1.08,6.33,3.06,1.17,1.03,5.33,3.53,6.05,11.50,1.30,1.98,10.33,24.50
belgium-algeria-GAm2KrMc,17 Jun 2014,1.34,5.17,10.10,2.02,1.70,1.02,1.20,1.69,2.66,4.72,14.00,4.17,2.15,1.42,1.17,3.33,1.91,1.04,-,4.27,3.53,10.17,-,1.74,3.27,20.67,-
germany-portugal-AXQz4NyH,16 Jun 2014,2.08,3.48,3.64,1.60,2.22,1.04,1.23,1.83,2.88,5.38,10.63,4.01,1.98,1.39,1.14,7.33,3.56,1.25,1.05,5.92,3.86,5.37,10.17,1.23,1.75,7.67,18.00
france-honduras-hzu5j47H,15 Jun 2014,1.27,5.86,12.51,2.29,1.55,1.02,1.21,1.70,2.76,5.18,13.75,4.14,2.12,1.41,1.15,2.93,1.73,1.05,1.01,3.95,3.68,10.25,10.00,1.92,3.67,23.00,35.00
switzerland-ecuador-O0z1iphB,15 Jun 2014,2.45,3.17,3.12,1.81,1.90,1.07,1.36,2.19,4.03,8.38,8.13,3.03,1.66,1.22,1.07,10.50,4.59,1.32,1.06,6.67,4.00,4.63,9.00,1.14,1.54,6.75,16.33
england-italy-WnVtd8wt,15 Jun 2014,2.49,2.98,3.29,1.94,1.75,1.09,1.42,2.42,4.39,10.00,7.00,2.77,1.55,1.19,1.04,13.33,4.96,1.33,1.06,7.50,3.96,4.47,9.17,1.10,1.50,7.00,17.67
spain-netherlands-YgArwfX0,13 Jun 2014,1.84,3.32,5.05,2.08,1.66,1.07,1.41,2.34,4.33,9.50,7.63,2.80,1.59,1.19,1.06,7.33,3.30,1.17,1.03,5.37,3.41,6.13,12.50,1.26,1.94,11.33,29.50
brazil-croatia-zaSenbAE,12 Jun 2014,1.32,5.05,11.77,2.53,1.46,1.05,1.33,2.06,3.64,7.30,9.63,3.23,1.73,1.26,1.08,3.45,1.91,1.03,1.01,4.00,3.43,11.07,10.00,1.70,3.38,27.00,50.00
france-ukraine-CdTGavpN,19 Nov 2013,1.42,4.45,8.33,2.32,1.54,1.05,1.34,2.04,3.29,7.07,9.50,3.18,1.74,1.33,1.08,4.20,2.07,1.04,-,4.20,3.45,9.00,-,1.57,2.83,21.00,-
sweden-portugal-pzcK0KUG,19 Nov 2013,2.88,3.29,2.51,1.84,1.87,1.11,1.35,2.08,3.94,6.91,7.66,3.10,1.71,1.23,1.10,15.00,6.00,1.48,1.11,8.50,4.40,3.87,7.50,1.06,1.36,4.92,12.00
croatia-iceland-8SEnfI7p,19 Nov 2013,1.32,4.74,11.54,2.57,1.46,1.05,1.31,1.99,3.59,7.07,9.57,3.33,1.78,1.27,1.08,3.60,1.94,-,-,4.00,3.28,-,-,1.70,3.26,-,-
romania-greece-jmSKbbaT,19 Nov 2013,2.38,3.17,3.22,2.02,1.69,1.08,1.43,2.37,4.26,9.93,7.50,2.69,1.55,1.21,1.05,11.50,4.69,1.30,1.03,7.00,3.78,4.75,9.50,1.14,1.55,7.25,19.00
greece-romania-CMbC2t04,15 Nov 2013,1.99,3.16,4.27,2.23,1.59,1.10,1.51,2.69,5.00,10.08,6.63,2.47,1.44,1.17,1.11,8.75,3.76,1.17,,5.88,3.43,5.75,,1.21,1.76,11.00,
portugal-sweden-Gf5342Vi,15 Nov 2013,1.60,3.91,6.08,1.97,1.73,1.09,1.31,1.98,3.57,6.88,8.34,3.31,1.78,1.28,1.09,5.30,2.56,1.10,,4.75,3.45,7.00,,1.39,2.26,15.00,
ukraine-france-bJf83Mpb,15 Nov 2013,3.40,3.11,2.31,2.12,1.65,1.11,1.49,2.61,5.11,11.13,6.41,2.51,1.46,1.15,1.04,23.00,8.00,1.58,1.15,11.00,5.00,3.71,6.75,1.01,1.27,4.51,11.00
iceland-croatia-6qbG10FA,15 Nov 2013,4.27,3.28,1.96,2.02,1.67,1.12,1.43,2.42,4.39,9.68,6.53,2.71,1.53,1.17,1.05,-,10.00,1.78,1.22,-,5.75,3.56,5.88,-,1.19,3.54,8.50
belgium-wales-6JoGGaI5,15 Oct 2013,1.18,7.03,15.47,2.53,1.48,1.07,1.20,1.58,2.52,4.36,11.74,4.38,2.31,1.49,1.18,2.48,1.47,,,3.78,4.08,,,2.28,4.68,,
england-poland-4no8SQib,15 Oct 2013,1.31,5.32,10.10,1.97,1.73,1.02,1.24,1.71,2.76,5.16,12.50,3.87,2.08,1.41,1.14,3.38,1.88,1.03,,4.22,3.44,9.50,,1.71,3.29,21.00,
france-finland-lpQwuw1o,15 Oct 2013,1.21,6.53,14.20,2.37,1.52,1.02,1.23,1.63,2.60,4.70,13.33,4.12,2.22,1.45,1.17,2.80,1.55,,,3.78,3.85,,,2.08,4.42,,
san-marino-ukraine-z5U4g2C4,15 Oct 2013,68.00,25.00,1.01,3.50,1.29,,1.02,1.06,1.21,1.57,,21.00,8.38,4.13,2.30,,,,,,,,,,,,
scotland-croatia-0jpVG0Kd,15 Oct 2013,3.54,3.30,2.15,1.84,1.89,1.06,1.37,2.15,3.66,7.55,8.80,3.02,1.66,1.25,1.08,19.00,7.50,1.63,1.17,10.00,4.90,3.75,6.50,1.03,1.28,4.05,9.50
spain-georgia-2mUsvcGi,15 Oct 2013,1.05,15.00,35.00,3.42,1.29,1.01,1.08,1.40,1.78,2.86,21.33,7.68,3.20,1.96,1.38,1.52,1.15,,,4.55,5.75,,,3.97,9.75,,
faroe-islands-austria-4QB1sLUT,15 Oct 2013,10.55,6.13,1.26,2.05,1.68,1.01,1.18,1.55,2.46,4.13,14.67,4.56,2.38,1.51,1.21,,,3.83,1.89,,,3.85,4.17,,,1.63,2.92
italy-armenia-fkDbZYur,15 Oct 2013,1.30,5.49,9.95,2.13,1.63,1.02,1.20,1.65,2.67,4.63,13.00,4.18,2.18,1.45,1.21,3.19,1.82,1.01,,4.17,3.57,11.00,,1.78,3.27,26.00,
sweden-germany-0vOQkIMj,15 Oct 2013,5.48,3.96,1.62,1.67,2.07,1.03,1.19,1.73,2.69,5.06,12.13,4.21,2.08,1.44,1.15,-,11.75,2.22,1.39,-,7.25,3.63,4.88,-,1.12,2.54,4.85
serbia-north-macedonia-SI3vDIJL,15 Oct 2013,1.38,4.45,9.42,2.48,1.48,1.06,1.34,2.07,3.54,6.65,8.75,3.12,1.71,1.29,1.15,4.08,2.03,1.02,,4.25,3.45,10.00,,1.56,2.93,23.00,
bulgaria-czech-republic-SnFYQylL,15 Oct 2013,2.24,3.39,3.25,1.74,1.95,1.10,1.35,2.02,3.48,6.83,8.10,3.19,1.75,1.28,1.09,10.00,4.00,1.30,1.04,6.50,3.78,4.75,9.50,1.15,1.62,7.00,17.00
denmark-malta-xjOKtHm8,15 Oct 2013,1.02,18.67,48.33,4.17,1.21,1.00,1.06,1.25,1.64,2.50,26.00,9.50,3.78,2.17,1.49,1.36,1.09,,,4.80,6.50,,,5.50,12.00,,
latvia-slovakia-UesEEGHs,15 Oct 2013,3.57,3.32,2.11,1.84,1.83,1.06,1.35,2.16,3.57,6.94,8.63,3.04,1.65,1.31,1.15,21.00,7.75,1.67,1.17,11.00,5.05,3.73,6.13,1.02,1.25,3.83,9.00
hungary-andorra-xYE3Iz6q,15 Oct 2013,1.02,20.25,50.50,3.87,1.25,1.00,1.04,1.20,1.57,2.34,26.00,11.17,4.25,2.32,1.55,1.33,1.05,,,5.30,9.00,,,5.45,17.00,,
romania-estonia-xxNExdcF,15 Oct 2013,1.15,7.38,19.25,2.63,1.44,1.02,1.16,1.59,2.46,4.31,14.67,4.72,2.28,1.51,1.19,2.39,1.48,,,3.77,4.05,,,2.33,5.20,,
switzerland-slovenia-Kh6yvUkH,15 Oct 2013,2.10,3.42,3.50,1.73,1.97,1.09,1.31,2.00,3.41,6.75,8.26,3.34,1.76,1.29,1.09,8.00,3.64,1.25,1.02,6.00,3.76,5.20,11.00,1.19,1.70,7.75,19.00
turkey-netherlands-SUNbF5tD,15 Oct 2013,2.71,3.57,2.48,1.60,2.22,1.03,1.25,1.79,2.78,5.53,11.50,3.80,1.99,1.44,1.13,12.75,5.33,1.52,1.13,8.25,4.20,4.20,7.00,1.09,1.41,4.48,10.25
azerbaijan-russia-zkb2dB5o,15 Oct 2013,11.17,4.63,1.32,2.45,1.50,1.04,1.32,1.99,3.18,6.43,10.25,3.30,1.78,1.35,1.10,,26.00,3.24,1.67,,11.00,3.48,3.98,,1.02,1.90,3.65
portugal-luxembourg-63ReqdI7,15 Oct 2013,1.02,17.50,45.50,4.09,1.22,1.00,1.03,1.16,1.58,1.99,20.50,12.05,4.80,2.48,1.76,1.22,1.07,,,6.00,7.50,,,7.50,14.00,,
cyprus-albania-K48LUY6n,15 Oct 2013,3.21,3.22,2.31,1.92,1.77,1.11,1.43,2.29,4.22,9.05,6.91,2.74,1.59,1.20,1.06,21.00,7.25,1.57,1.15,10.00,4.75,3.81,6.75,1.02,1.29,4.40,10.50
spain-belarus-pCJnwHVc,11 Oct 2013,1.08,12.19,35.95,3.50,1.29,1.01,1.07,1.36,1.72,2.58,21.33,8.38,3.32,2.07,1.44,1.42,1.13,,,4.83,6.00,,,4.38,10.25,,
portugal-israel-MFPqnbYl,11 Oct 2013,1.17,7.21,16.56,2.28,1.56,1.01,1.16,1.45,2.24,3.85,15.67,4.95,2.64,1.61,1.23,2.30,1.45,,,4.13,4.16,,,2.29,4.75,,
england-montenegro-nBj3T6xh,11 Oct 2013,1.29,5.27,11.88,2.28,1.56,1.03,1.28,1.73,2.95,4.95,12.00,3.64,2.04,1.37,1.20,3.06,1.71,-,,3.92,3.65,-,,1.90,3.67,-,
germany-ireland-thrhR3rI,11 Oct 2013,1.16,7.72,17.07,2.08,1.66,1.01,1.09,1.37,1.87,2.91,18.00,6.75,3.03,1.87,1.39,1.96,1.35,,,4.10,4.63,,,2.75,5.50,,
greece-slovakia-pO5sKxfK,11 Oct 2013,1.66,3.63,5.71,2.20,1.60,1.06,1.39,2.29,4.19,8.80,8.25,2.85,1.59,1.20,1.06,6.50,2.83,1.12,,5.00,3.38,6.50,,1.30,2.12,13.00,
slovenia-norway-K8lKujL4,11 Oct 2013,2.55,3.28,2.81,1.86,1.83,1.06,1.38,2.17,3.70,6.99,8.25,2.92,1.65,1.28,1.14,12.75,5.17,1.39,1.07,7.75,4.03,4.41,8.50,1.11,1.45,5.75,15.00
sweden-austria-vHNRa2pb,11 Oct 2013,1.77,3.69,4.70,1.84,1.89,1.05,1.33,1.99,3.61,6.69,9.25,3.29,1.78,1.27,1.09,6.63,3.00,1.17,,5.45,3.53,6.13,,1.27,1.95,10.00,
wales-north-macedonia-ARQjCxZR,11 Oct 2013,2.51,3.18,2.93,1.98,1.72,1.12,1.43,2.38,4.47,9.75,6.54,2.69,1.54,1.17,1.05,15.00,5.08,1.36,,8.00,3.78,4.20,,1.08,1.47,6.50,
albania-switzerland-MHETW6Bm,11 Oct 2013,4.53,3.43,1.84,2.07,1.67,1.11,1.41,2.34,4.31,9.30,6.83,2.76,1.56,1.19,1.05,,10.50,1.86,1.23,,5.88,3.51,5.70,,1.17,3.31,7.63
andorra-romania-h2poAwEM,11 Oct 2013,40.75,16.00,1.04,3.58,1.27,1.01,1.09,1.45,2.00,3.00,23.50,7.00,2.83,1.78,1.39,,,9.25,3.85,,,5.75,4.25,,,1.14,1.62
estonia-turkey-z5tGRvqc,11 Oct 2013,9.12,4.71,1.36,2.23,1.58,1.04,1.27,1.86,3.13,6.19,10.43,3.55,1.92,1.35,1.11,,23.00,2.98,1.64,,10.00,3.56,4.25,,1.02,1.96,3.70
luxembourg-russia-CIuazLlq,11 Oct 2013,26.75,11.63,1.07,3.01,1.37,1.01,1.14,1.44,2.23,3.38,21.50,5.20,2.68,1.63,1.38,,,7.83,2.95,,,4.73,3.95,,,1.25,1.93
netherlands-hungary-dQZnKmsl,11 Oct 2013,1.32,5.33,8.60,1.76,1.94,1.01,1.13,1.46,2.23,3.56,15.00,5.25,2.61,1.60,1.33,3.06,1.80,1.04,,4.27,3.83,9.50,,1.80,3.20,17.00,
denmark-italy-WSLTHXA7,11 Oct 2013,2.38,3.36,3.00,1.83,1.86,1.06,1.38,2.15,3.82,8.13,8.38,2.93,1.68,1.25,1.07,11.00,4.65,1.33,1.05,7.00,3.89,4.63,9.00,1.13,1.52,6.38,17.00
ukraine-poland-n7AWqaDq,11 Oct 2013,1.78,3.57,4.59,1.88,1.79,1.10,1.33,2.06,3.83,7.55,7.84,3.20,1.72,1.23,1.07,6.63,3.10,1.15,,5.38,3.54,6.13,,1.29,1.92,10.50,
malta-czech-republic-hAxRiY1Q,11 Oct 2013,12.84,6.52,1.22,2.50,1.50,1.02,1.19,1.64,2.52,4.34,14.00,4.30,2.19,1.54,1.22,,,4.21,2.12,,,3.78,3.85,,,1.59,2.66
croatia-belgium-bLU1UIn5,11 Oct 2013,2.49,3.15,3.02,1.95,1.74,1.07,1.40,2.32,4.05,9.38,7.50,2.78,1.58,1.24,1.05,12.00,4.88,1.32,1.05,7.25,3.93,4.55,9.00,1.12,1.50,6.75,17.00
belarus-france-O2Ijxyo4,10 Sep 2013,6.72,3.74,1.58,2.41,1.51,1.06,1.40,2.33,4.39,9.18,7.88,2.72,1.57,1.18,1.05,,17.00,2.31,1.37,,7.50,3.30,4.70,,1.07,2.60,5.55
iceland-albania-IkROThMh,10 Sep 2013,2.29,3.21,3.30,1.95,1.75,1.07,1.39,2.34,4.26,9.13,7.25,2.78,1.57,1.19,1.06,10.75,4.40,1.29,1.03,6.88,3.75,4.75,10.00,1.14,1.57,7.25,21.00
austria-ireland-2TqIqA96,10 Sep 2013,1.91,3.49,4.12,1.76,1.92,1.05,1.29,1.96,3.45,6.56,9.38,3.40,1.81,1.28,1.10,7.50,3.33,1.20,1.01,5.63,3.66,5.55,12.00,1.22,1.80,8.75,21.00
faroe-islands-germany-2m4LloWu,10 Sep 2013,79.25,22.25,1.02,3.70,1.25,1.00,1.02,1.11,1.32,1.81,34.00,12.50,6.11,3.08,1.94,,,17.00,7.50,,,10.00,6.50,,,1.03,1.22
italy-czech-republic-AomMhEnK,10 Sep 2013,1.65,3.63,6.01,2.18,1.61,1.06,1.36,2.22,4.15,8.63,8.13,2.90,1.62,1.20,1.06,6.05,2.79,1.10,,4.88,3.40,7.00,,1.34,2.17,15.00,
san-marino-poland-6DS3lu5S,10 Sep 2013,70.75,24.50,1.01,2.75,1.40,1.00,1.01,1.09,1.25,1.60,34.00,17.00,6.81,3.70,2.22,,,19.00,7.50,,,11.00,6.50,,,1.03,1.20
ukraine-england-r58yWuqp,10 Sep 2013,2.86,3.03,2.74,1.89,1.82,1.07,1.38,2.32,4.35,8.88,7.38,2.80,1.57,1.19,1.06,17.00,6.00,1.43,1.08,8.50,4.25,3.93,8.00,1.06,1.39,5.50,15.00
wales-serbia-OY6R5zCe,10 Sep 2013,3.68,3.37,2.05,1.89,1.80,1.06,1.36,2.18,3.94,8.50,8.13,2.95,1.64,1.21,1.06,21.00,8.50,1.72,1.18,11.00,5.50,3.63,6.00,1.02,1.22,3.67,9.00
andorra-netherlands-AgNYAJbG,10 Sep 2013,75.75,19.25,1.02,4.00,1.22,1.00,1.02,1.14,1.39,2.00,29.00,12.00,5.19,2.75,1.74,,,19.00,6.88,,,10.00,6.00,,,1.03,1.21
cyprus-slovenia-fFQlU4e6,10 Sep 2013,4.11,3.39,1.95,1.97,1.73,1.06,1.37,2.26,4.27,8.75,7.88,2.89,1.60,1.20,1.06,-,9.50,1.78,1.22,-,5.63,3.59,5.63,-,1.19,3.50,8.00
hungary-estonia-UBJ6vIS2,10 Sep 2013,1.39,4.56,8.50,2.03,1.69,1.03,1.24,1.79,3.09,5.75,11.00,3.74,1.97,1.34,1.12,3.95,2.04,1.05,,4.35,3.43,9.00,,1.56,2.89,19.00,
north-macedonia-scotland-CSYJW7Et,10 Sep 2013,2.20,3.27,3.51,2.03,1.69,1.08,1.45,2.46,4.65,9.75,7.13,2.65,1.52,1.17,1.05,10.00,4.14,1.25,1.02,6.50,3.70,5.05,11.00,1.16,1.63,8.00,23.00
slovakia-bosnia-herzegovina-zyNyYeOJ,10 Sep 2013,3.00,3.28,2.41,1.80,1.89,1.05,1.33,2.07,3.76,7.38,8.88,3.16,1.72,1.25,1.08,14.50,6.00,1.52,1.13,8.50,4.50,3.96,7.00,1.08,1.36,4.58,11.00
romania-turkey-pnQcrobn,10 Sep 2013,2.33,3.30,3.12,1.81,1.88,1.05,1.33,2.12,3.88,7.88,8.50,3.13,1.68,1.23,1.07,10.50,4.41,1.29,1.04,6.75,3.83,4.80,9.50,1.15,1.58,7.25,17.00
georgia-finland-hxNfye0A,10 Sep 2013,2.59,3.16,2.82,2.00,1.71,1.07,1.42,2.34,4.39,9.38,7.75,2.73,1.56,1.18,1.05,13.75,5.15,1.37,1.06,7.75,4.01,4.35,8.50,1.10,1.46,5.80,17.00
norway-switzerland-Qs9HVEit,10 Sep 2013,2.58,3.23,2.81,1.85,1.85,1.06,1.37,2.20,3.96,8.38,8.00,2.89,1.63,1.22,1.06,12.00,5.06,1.35,1.06,7.25,3.95,4.47,8.50,1.11,1.47,6.38,17.00
armenia-denmark-fcNLTw42,10 Sep 2013,3.33,3.43,2.16,1.71,2.00,1.04,1.28,1.91,3.36,6.38,9.63,3.45,1.86,1.29,1.10,17.00,7.25,1.63,1.17,9.50,5.00,3.83,6.50,1.04,1.28,4.01,9.00
kazakhstan-sweden-zFsdQNcO,10 Sep 2013,10.89,5.16,1.31,2.08,1.66,1.02,1.21,1.72,2.94,5.19,12.25,4.05,2.07,1.36,1.14,,23.00,3.33,1.73,,11.00,3.46,4.20,,1.02,1.89,3.28
russia-israel-06OmoIme,10 Sep 2013,1.33,5.05,9.59,2.18,1.61,1.03,1.25,1.78,3.09,5.80,11.63,3.68,1.98,1.34,1.12,3.45,1.89,1.02,,4.25,3.50,11.00,,1.69,3.19,23.00,
england-moldova-vwydeOsh,06 Sep 2013,1.06,13.50,34.00,3.07,1.34,1.01,1.08,1.29,1.78,2.90,21.33,7.17,3.41,1.96,1.37,1.58,,,-,4.42,,,-,3.83,,,-
